,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
0,Honda,Amaze,First,"36,471",Petrol,2021,White,5,19,9.2,7.99
1,Land,Rover,First,"30,000",Diesel,2019,Black,5,AWD,1.35,94.52
2,Honda,Civic,First,"29,000",Petrol,2019,Silver,5,16.5,16.9,17.02
3,Toyota,Fortuner,First,"1,00,000",Diesel,2017,Brown,7,12.9,29.99,28.93
4,Honda,Jazz,First,"34,356",Petrol,2016,White,5,19,6.25,6.15
5,Ford,Endeavour,First,"78,000",Diesel,2016,White,7,10.91,26,22.01
6,Land,Rover,First,"33,000",Diesel,2018,White,5,15.6,46.95,46.09
7,Maruti,Suzuki,First,"32,000",Petrol,2017,Grey,5,20.5,4.25,4.48
8,Maruti,Suzuki,"{{cityName}},",{{transmission}},|,"11,736",{{color}},5,22,6.35,6.52
9,Honda,Jazz,First,"17,847",Petrol,2019,White,5,18.7,6.8,7.75
10,Maruti,Suzuki,First,"10,519",Petrol,2021,Brown,5,20.52,6.8,7.75
11,BMW,X1,First,"4,902",Diesel,2022,Black,5,RWD,43.5,37.9
12,Mercedes-Benz,E-Class,Second,"29,675",Petrol,2011,White,5,12.06,11.25,13.78
13,Audi,Q2,First,"20,000",Petrol,2020,White,5,188,29.25,35.38
14,Honda,City,Second,"60,621",Petrol,2016,Silver,5,FWD,7.07,7.31
15,Hyundai,Santro,First,"2,963",Petrol,2021,Blue,5,20,5.53,6.5
16,Hyundai,Verna,First,"9,434",Petrol,2019,Silver,5,FWD,10.37,10.58
17,Toyota,Yaris,First,"19,785",Petrol,2018,White,5,17.1,7.83,8.57
18,Honda,WR-V,First,"11,002",Petrol,2019,Grey,5,17.5,8.55,8.84
19,Honda,City,First,"90,860",Diesel,2016,Maroon,5,FWD,6.88,7.29
20,Honda,CR-V,Second,"62,577",Petrol,2015,Black,5,13.69999981,8.67,10.84
21,Maruti,Suzuki,First,"49,870",CNG,2020,White,5,30.47,5.6,5.8
22,Tata,Altroz,First,"7,956",Petrol,2020,Grey,5,19.05,7.48,6.01
23,Maruti,Suzuki,Second,"53,092",Petrol,2017,Silver,5,19.12,6.32,7.8
24,Maruti,Suzuki,First,"47,072",Petrol,2017,Black,5,20.5,4.76,4.37
25,Maruti,Suzuki,First,"37,333",Petrol,2017,White,5,20.5,4.57,4.44
26,Maruti,Suzuki,First,"23,329",CNG,2021,Orange,4,78,5.74,5.85
27,Maruti,Suzuki,Second,"32,530",CNG,2021,Grey,5,32.52,5.74,5.85
28,Ford,EcoSport,Second,"54,120",Diesel,2017,Others,5,23,5.99,7.09
29,Maruti,Suzuki,First,"54,674",CNG,2012,Others,5,Manual,2.79,2.8
30,Volkswagen,Ameo,Second,"64,500",Petrol,2016,Others,5,17.83,4.1,4.87
31,Maruti,Suzuki,First,"91,114",Diesel,2014,Others,5,23.4,5.52,4.73
32,Maruti,Suzuki,First,"29,453",Petrol,2021,Grey,6,19.01,10.75,10.7
33,MG,ZS,First,"7,500",Electric,2021,Blue,5,FWD,23,23.6
34,Honda,CR-V,First,"29,000",Petrol,2015,Silver,5,FWD,23,23.6
35,Hyundai,Grand,First,"23,000",Petrol,2017,White,5,19.77,4.4,4.63
36,Ford,Endeavour,First,"61,000",Diesel,2021,Gold,7,12.62,37,35.39
37,Kia,Sonet,First,"14,405",Petrol,2021,Silver,5,18.2,11,9.42
38,Mercedes-Benz,GLE,First,"34,000",Diesel,2020,Blue,5,241,81,85.86
39,Ford,Endeavour,"{{cityName}},",{{transmission}},|,"78,000",{{color}},7,10.91,26,22.01
40,Maruti,Suzuki,First,"11,736",Petrol,2018,Blue,5,22,6.35,6.52
41,Honda,Jazz,"{{cityName}},",{{transmission}},|,"17,847",{{color}},5,18.7,6.8,7.75
42,Maruti,Suzuki,First,"10,519",Petrol,2021,Brown,5,20.52,6.8,7.75
43,BMW,X1,First,"4,902",Diesel,2022,Black,5,RWD,43.5,37.9
44,Mercedes-Benz,E-Class,Second,"29,675",Petrol,2011,White,5,12.06,11.25,13.78
45,Audi,Q2,First,"20,000",Petrol,2020,White,5,188,29.25,35.38
46,Maruti,Suzuki,First,"47,072",Petrol,2017,Black,5,20.5,4.76,4.37
47,Maruti,Suzuki,First,"37,333",Petrol,2017,White,5,20.5,4.57,4.44
48,Honda,City,Second,"60,621",Petrol,2016,Silver,5,FWD,7.07,7.31
49,Toyota,Yaris,First,"19,785",Petrol,2018,White,5,17.1,7.83,8.57
50,Honda,WR-V,"{{cityName}},",{{transmission}},|,"11,002",{{color}},5,17.5,8.55,8.84
51,Honda,CR-V,Second,"62,577",Petrol,2015,Black,5,13.69999981,8.67,10.84
52,Maruti,Suzuki,First,"49,870",CNG,2020,White,5,30.47,5.6,5.8
53,Maruti,Suzuki,First,"23,329",CNG,2021,Orange,4,78,5.74,5.85
54,Maruti,Suzuki,Second,"32,530",CNG,2021,Grey,5,32.52,5.74,5.85
55,Tata,Altroz,First,"7,956",Petrol,2020,Grey,5,19.05,7.48,6.01
56,Maruti,Suzuki,Second,"53,092",Petrol,2017,Silver,5,19.12,6.32,7.8
57,Hyundai,Santro,First,"2,963",Petrol,2021,Blue,5,20,5.53,6.5
58,Hyundai,Verna,First,"9,434",Petrol,2019,Silver,5,FWD,10.37,10.58
59,Honda,City,First,"90,860",Diesel,2016,Maroon,5,FWD,6.88,7.29
60,Maruti,Suzuki,First,"54,674",CNG,2012,Others,5,Manual,2.79,2.8
61,Ford,EcoSport,Second,"54,120",Diesel,2017,Others,5,23,5.99,7.09
62,Hyundai,i20,First,"13,616",Petrol,2014,Others,5,18.15,4.97,4.57
63,Maruti,Suzuki,Second,"84,784",Diesel,2015,Others,5,23.65,5.59,6.41
64,BMW,v5,First,"21,000",Diesel,2017,Gold,5,22.48,42,37.07
65,Toyota,Innova,First,"16,500",Diesel,2021,Black,7,15.6,30.5,28.94
66,Maruti,Suzuki,Second,"31,000",Petrol,2017,Blue,5,19.12,6.95,7.47
67,Ford,Figo,First,"64,983",Diesel,2013,Red,5,20,2.99,2.76
68,Ford,Fiesta,First,"31,575",Petrol,2011,Silver,5,11.7,1.95,2.29
69,Mercedes-Benz,GLE,First,"54,000",Diesel,2017,White,5,Automatic,42.75,47.73
70,Maruti,Suzuki,First,"28,000",CNG,2014,Grey,7,22.8,7,6.76
71,Maruti,Suzuki,First,"20,300",Petrol,2020,White,6,19.01,10.99,10.21
72,Maruti,Suzuki,"{{cityName}},",{{transmission}},|,"11,736",{{color}},5,22,6.35,6.52
73,Honda,Jazz,First,"17,847",Petrol,2019,White,5,18.7,6.8,7.75
74,Maruti,Suzuki,"{{cityName}},",{{transmission}},|,"10,519",{{color}},5,20.52,6.8,7.75
75,BMW,X1,First,"4,902",Diesel,2022,Black,5,RWD,43.5,37.9
76,Mercedes-Benz,E-Class,"{{cityName}},",{{transmission}},|,"29,675",{{color}},5,12.06,11.25,13.78
77,Audi,Q2,First,"20,000",Petrol,2020,White,5,188,29.25,35.38
78,Honda,City,Second,"60,621",Petrol,2016,Silver,5,FWD,7.07,7.31
79,Hyundai,Santro,First,"2,963",Petrol,2021,Blue,5,20,5.53,6.5
80,Hyundai,Verna,First,"9,434",Petrol,2019,Silver,5,FWD,10.37,10.58
81,Toyota,Yaris,First,"19,785",Petrol,2018,White,5,17.1,7.83,8.57
82,Honda,WR-V,First,"11,002",Petrol,2019,Grey,5,17.5,8.55,8.84
83,Honda,City,First,"90,860",Diesel,2016,Maroon,5,FWD,6.88,7.29
84,Honda,CR-V,Second,"62,577",Petrol,2015,Black,5,13.69999981,8.67,10.84
85,Maruti,Suzuki,First,"49,870",CNG,2020,White,5,30.47,5.6,5.8
86,Tata,Altroz,First,"7,956",Petrol,2020,Grey,5,19.05,7.48,6.01
87,Maruti,Suzuki,Second,"53,092",Petrol,2017,Silver,5,19.12,6.32,7.8
88,Maruti,Suzuki,First,"47,072",Petrol,2017,Black,5,20.5,4.76,4.37
89,Maruti,Suzuki,First,"37,333",Petrol,2017,White,5,20.5,4.57,4.44
90,Maruti,Suzuki,First,"23,329",CNG,2021,Orange,4,78,5.74,5.85
91,Maruti,Suzuki,Second,"32,530",CNG,2021,Grey,5,32.52,5.74,5.85
92,Ford,EcoSport,Second,"54,120",Diesel,2017,Others,5,23,5.99,7.09
93,Maruti,Suzuki,First,"54,674",CNG,2012,Others,5,Manual,2.79,2.8
94,Volkswagen,Ameo,Second,"64,500",Petrol,2016,Others,5,17.83,4.1,4.87
95,Maruti,Suzuki,First,"91,114",Diesel,2014,Others,5,23.4,5.52,4.73
96,Honda,City,Third,"61,000",Petrol,2014,Red,5,FWD,4.65,5.17
97,Hyundai,Venue,First,"35,529",Petrol,2019,White,5,18.15,10.5,10.56
98,Maruti,Suzuki,First,"32,946",Petrol,2020,Brown,5,20.52,10.5,10.56
99,Mercedes-Benz,GLE,First,"54,000",Diesel,2017,White,5,Automatic,42.75,47.73
100,Tata,Nexon,"{{cityName}},",{{transmission}},|,"20,000",{{color}},5,127,15.25,15.63
101,BMW,v5,First,"8,519",Diesel,2020,Blue,5,22.48,55,56.96
102,Mercedes-Benz,M-Class,"{{cityName}},",{{transmission}},|,"52,510",{{color}},5,8.2,30,22.33
103,Hyundai,Verna,First,"51,235",Petrol,2014,Silver,5,FWD,5.95,5.8
104,Maruti,Suzuki,First,"11,736",Petrol,2018,Blue,5,22,6.35,6.52
105,Honda,Jazz,"{{cityName}},",{{transmission}},|,"17,847",{{color}},5,18.7,6.8,7.75
106,Maruti,Suzuki,First,"10,519",Petrol,2021,Brown,5,20.52,6.8,7.75
107,BMW,X1,First,"4,902",Diesel,2022,Black,5,RWD,43.5,37.9
108,Mercedes-Benz,E-Class,Second,"29,675",Petrol,2011,White,5,12.06,11.25,13.78
109,Audi,Q2,First,"20,000",Petrol,2020,White,5,188,29.25,35.38
110,Hyundai,Verna,First,"9,434",Petrol,2019,Silver,5,FWD,10.37,10.58
111,Honda,City,First,"90,860",Diesel,2016,Maroon,5,FWD,6.88,7.29
112,Honda,CR-V,Second,"62,577",Petrol,2015,Black,5,13.69999981,8.67,10.84
113,Maruti,Suzuki,First,"49,870",CNG,2020,White,5,30.47,5.6,5.8
114,Maruti,Suzuki,First,"23,329",CNG,2021,Orange,4,78,5.74,5.85
115,Maruti,Suzuki,Second,"32,530",CNG,2021,Grey,5,32.52,5.74,5.85
116,Tata,Altroz,First,"7,956",Petrol,2020,Grey,5,19.05,7.48,6.01
117,Maruti,Suzuki,"{{cityName}},",{{transmission}},|,"53,092",{{color}},5,19.12,6.32,7.8
118,Honda,City,"{{cityName}},",{{transmission}},|,"60,621",{{color}},5,FWD,7.07,7.31
119,Hyundai,Santro,First,"2,963",Petrol,2021,Blue,5,20,5.53,6.5
120,Toyota,Yaris,First,"19,785",Petrol,2018,White,5,17.1,7.83,8.57
121,Honda,WR-V,First,"11,002",Petrol,2019,Grey,5,17.5,8.55,8.84
122,Maruti,Suzuki,First,"47,072",Petrol,2017,Black,5,20.5,4.76,4.37
123,Maruti,Suzuki,First,"37,333",Petrol,2017,White,5,20.5,4.57,4.44
124,Maruti,Suzuki,"{{cityName}},",{{transmission}},|,"54,674",{{color}},5,Manual,2.79,2.8
125,Hyundai,i20,"{{cityName}},",{{transmission}},|,"13,616",{{color}},5,18.15,4.97,4.57
126,Maruti,Suzuki,Second,"84,784",Diesel,2015,Others,5,23.65,5.59,6.41
127,Ford,EcoSport,Second,"18,014",Petrol,2019,Others,5,17,8.53,8.16
128,Hyundai,Venue,First,"35,529",Petrol,2019,White,5,18.15,10.5,10.56
129,Honda,Amaze,First,"36,471",Petrol,2021,White,5,19,9.2,7.99
130,BMW,7,First,"47,000",Diesel,2017,White,4,11.1,64.5,62.7
131,Datsun,redi-GO,First,"1,413",Petrol,2019,Silver,5,22.7,2.95,3.38
132,BMW,iX,UnRegistered,"2,750",Electric,2022,Black,5,326,2.95,3.38
133,Hyundai,Grand,First,"23,000",Petrol,2017,White,5,19.77,4.4,4.63
134,Hyundai,Venue,First,"16,111",Petrol,2019,White,5,18.2,9.95,9.92
135,BMW,5,First,"75,000",Diesel,2013,Blue,5,14.69,19.95,19.59
136,Maruti,Suzuki,First,"11,736",Petrol,2018,Blue,5,22,6.35,6.52
137,Honda,Jazz,"{{cityName}},",{{transmission}},|,"17,847",{{color}},5,18.7,6.8,7.75
138,Maruti,Suzuki,First,"10,519",Petrol,2021,Brown,5,20.52,6.8,7.75
139,BMW,X1,First,"4,902",Diesel,2022,Black,5,RWD,43.5,37.9
140,Mercedes-Benz,E-Class,Second,"29,675",Petrol,2011,White,5,12.06,11.25,13.78
141,Audi,Q2,First,"20,000",Petrol,2020,White,5,188,29.25,35.38
142,Maruti,Suzuki,First,"47,072",Petrol,2017,Black,5,20.5,4.76,4.37
143,Maruti,Suzuki,First,"37,333",Petrol,2017,White,5,20.5,4.57,4.44
144,Honda,City,Second,"60,621",Petrol,2016,Silver,5,FWD,7.07,7.31
145,Toyota,Yaris,First,"19,785",Petrol,2018,White,5,17.1,7.83,8.57
146,Honda,WR-V,First,"11,002",Petrol,2019,Grey,5,17.5,8.55,8.84
147,Honda,CR-V,Second,"62,577",Petrol,2015,Black,5,13.69999981,8.67,10.84
148,Maruti,Suzuki,First,"49,870",CNG,2020,White,5,30.47,5.6,5.8
149,Maruti,Suzuki,First,"23,329",CNG,2021,Orange,4,78,5.74,5.85
150,Maruti,Suzuki,Second,"32,530",CNG,2021,Grey,5,32.52,5.74,5.85
151,Tata,Altroz,First,"7,956",Petrol,2020,Grey,5,19.05,7.48,6.01
152,Maruti,Suzuki,Second,"53,092",Petrol,2017,Silver,5,19.12,6.32,7.8
153,Hyundai,Santro,First,"2,963",Petrol,2021,Blue,5,20,5.53,6.5
154,Hyundai,Verna,First,"9,434",Petrol,2019,Silver,5,FWD,10.37,10.58
155,Honda,City,First,"90,860",Diesel,2016,Maroon,5,FWD,6.88,7.29
156,Maruti,Suzuki,First,"54,674",CNG,2012,Others,5,Manual,2.79,2.8
157,Ford,EcoSport,Second,"54,120",Diesel,2017,Others,5,23,5.99,7.09
158,Hyundai,i20,First,"13,616",Petrol,2014,Others,5,18.15,4.97,4.57
159,Maruti,Suzuki,Second,"84,784",Diesel,2015,Others,5,23.65,5.59,6.41
