,Unnamed: 0,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
0,0.0,Honda,Amaze,First,36471.0,Petrol,2021.0,White,5.0,19,9.2,7.99
1,1.0,Land,Rover,First,30000.0,Diesel,2019.0,Black,5.0,AWD,1.35,94.52
2,2.0,Honda,Civic,First,29000.0,Petrol,2019.0,Silver,5.0,16.5,16.9,17.02
3,3.0,Toyota,Fortuner,First,100000.0,Diesel,2017.0,Brown,7.0,12.9,29.99,28.93
4,4.0,Honda,Jazz,First,34356.0,Petrol,2016.0,White,5.0,19,6.25,6.15
5,5.0,Ford,Endeavour,First,78000.0,Diesel,2016.0,White,7.0,10.91,26.0,22.01
6,6.0,Land,Rover,First,33000.0,Diesel,2018.0,White,5.0,15.6,46.95,46.09
7,7.0,Maruti,Suzuki,First,32000.0,Petrol,2017.0,Grey,5.0,20.5,4.25,4.48
8,8.0,Honda,Jazz,First,17847.0,Petrol,2019.0,White,5.0,18.7,6.8,7.75
9,9.0,Maruti,Suzuki,First,10519.0,Petrol,2021.0,Brown,5.0,20.52,6.8,7.75
10,10.0,BMW,X1,First,4902.0,Diesel,2022.0,Black,5.0,RWD,43.5,37.9
11,11.0,Mercedes-Benz,E-Class,Second,29675.0,Petrol,2011.0,White,5.0,12.06,11.25,13.78
12,12.0,Audi,Q2,First,20000.0,Petrol,2020.0,White,5.0,188,29.25,35.38
13,13.0,Honda,City,Second,60621.0,Petrol,2016.0,Silver,5.0,FWD,7.07,7.31
14,14.0,Hyundai,Santro,First,2963.0,Petrol,2021.0,Blue,5.0,20,5.53,6.5
15,15.0,Hyundai,Verna,First,9434.0,Petrol,2019.0,Silver,5.0,FWD,10.37,10.58
16,16.0,Toyota,Yaris,First,19785.0,Petrol,2018.0,White,5.0,17.1,7.83,8.57
17,17.0,Honda,WR-V,First,11002.0,Petrol,2019.0,Grey,5.0,17.5,8.55,8.84
18,18.0,Honda,City,First,90860.0,Diesel,2016.0,Maroon,5.0,FWD,6.88,7.29
19,19.0,Honda,CR-V,Second,62577.0,Petrol,2015.0,Black,5.0,13.69999981,8.67,10.84
20,20.0,Maruti,Suzuki,First,49870.0,CNG,2020.0,White,5.0,30.47,5.6,5.8
21,21.0,Tata,Altroz,First,7956.0,Petrol,2020.0,Grey,5.0,19.05,7.48,6.01
22,22.0,Maruti,Suzuki,Second,53092.0,Petrol,2017.0,Silver,5.0,19.12,6.32,7.8
23,23.0,Maruti,Suzuki,First,47072.0,Petrol,2017.0,Black,5.0,20.5,4.76,4.37
24,24.0,Maruti,Suzuki,First,37333.0,Petrol,2017.0,White,5.0,20.5,4.57,4.44
25,25.0,Maruti,Suzuki,First,23329.0,CNG,2021.0,Orange,4.0,78,5.74,5.85
26,26.0,Maruti,Suzuki,Second,32530.0,CNG,2021.0,Grey,5.0,32.52,5.74,5.85
27,27.0,Ford,EcoSport,Second,54120.0,Diesel,2017.0,Others,5.0,23,5.99,7.09
28,28.0,Maruti,Suzuki,First,54674.0,CNG,2012.0,Others,5.0,Manual,2.79,2.8
29,29.0,Volkswagen,Ameo,Second,64500.0,Petrol,2016.0,Others,5.0,17.83,4.1,4.87
30,30.0,Maruti,Suzuki,First,91114.0,Diesel,2014.0,Others,5.0,23.4,5.52,4.73
31,31.0,Maruti,Suzuki,First,29453.0,Petrol,2021.0,Grey,6.0,19.01,10.75,10.7
32,32.0,MG,ZS,First,7500.0,Electric,2021.0,Blue,5.0,FWD,23.0,23.6
33,33.0,Honda,CR-V,First,29000.0,Petrol,2015.0,Silver,5.0,FWD,23.0,23.6
34,34.0,Hyundai,Grand,First,23000.0,Petrol,2017.0,White,5.0,19.77,4.4,4.63
35,35.0,Ford,Endeavour,First,61000.0,Diesel,2021.0,Gold,7.0,12.62,37.0,35.39
36,36.0,Kia,Sonet,First,14405.0,Petrol,2021.0,Silver,5.0,18.2,11.0,9.42
37,37.0,Mercedes-Benz,GLE,First,34000.0,Diesel,2020.0,Blue,5.0,241,81.0,85.86
38,38.0,Maruti,Suzuki,First,11736.0,Petrol,2018.0,Blue,5.0,22,6.35,6.52
39,39.0,Maruti,Suzuki,First,47072.0,Petrol,2017.0,Black,5.0,20.5,4.76,4.37
40,40.0,Honda,City,Second,60621.0,Petrol,2016.0,Silver,5.0,FWD,7.07,7.31
41,41.0,Toyota,Yaris,First,19785.0,Petrol,2018.0,White,5.0,17.1,7.83,8.57
42,42.0,Honda,CR-V,Second,62577.0,Petrol,2015.0,Black,5.0,13.69999981,8.67,10.84
43,43.0,Maruti,Suzuki,First,49870.0,CNG,2020.0,White,5.0,30.47,5.6,5.8
44,44.0,Maruti,Suzuki,First,23329.0,CNG,2021.0,Orange,4.0,78,5.74,5.85
45,45.0,Maruti,Suzuki,Second,32530.0,CNG,2021.0,Grey,5.0,32.52,5.74,5.85
46,46.0,Tata,Altroz,First,7956.0,Petrol,2020.0,Grey,5.0,19.05,7.48,6.01
47,47.0,Maruti,Suzuki,Second,53092.0,Petrol,2017.0,Silver,5.0,19.12,6.32,7.8
48,48.0,Hyundai,Santro,First,2963.0,Petrol,2021.0,Blue,5.0,20,5.53,6.5
49,49.0,Hyundai,Verna,First,9434.0,Petrol,2019.0,Silver,5.0,FWD,10.37,10.58
50,50.0,Honda,City,First,90860.0,Diesel,2016.0,Maroon,5.0,FWD,6.88,7.29
51,51.0,Maruti,Suzuki,First,54674.0,CNG,2012.0,Others,5.0,Manual,2.79,2.8
52,52.0,Ford,EcoSport,Second,54120.0,Diesel,2017.0,Others,5.0,23,5.99,7.09
53,53.0,Hyundai,i20,First,13616.0,Petrol,2014.0,Others,5.0,18.15,4.97,4.57
54,54.0,Maruti,Suzuki,Second,84784.0,Diesel,2015.0,Others,5.0,23.65,5.59,6.41
55,55.0,BMW,v5,First,21000.0,Diesel,2017.0,Gold,5.0,22.48,42.0,37.07
56,56.0,Toyota,Innova,First,16500.0,Diesel,2021.0,Black,7.0,15.6,30.5,28.94
57,57.0,Maruti,Suzuki,Second,31000.0,Petrol,2017.0,Blue,5.0,19.12,6.95,7.47
58,58.0,Ford,Figo,First,64983.0,Diesel,2013.0,Red,5.0,20,2.99,2.76
59,59.0,Ford,Fiesta,First,31575.0,Petrol,2011.0,Silver,5.0,11.7,1.95,2.29
60,60.0,Mercedes-Benz,GLE,First,54000.0,Diesel,2017.0,White,5.0,Automatic,42.75,47.73
61,61.0,Maruti,Suzuki,First,28000.0,CNG,2014.0,Grey,7.0,22.8,7.0,6.76
62,62.0,Maruti,Suzuki,First,20300.0,Petrol,2020.0,White,6.0,19.01,10.99,10.21
63,63.0,Honda,Jazz,First,17847.0,Petrol,2019.0,White,5.0,18.7,6.8,7.75
64,64.0,BMW,X1,First,4902.0,Diesel,2022.0,Black,5.0,RWD,43.5,37.9
65,65.0,Audi,Q2,First,20000.0,Petrol,2020.0,White,5.0,188,29.25,35.38
66,66.0,Honda,City,Second,60621.0,Petrol,2016.0,Silver,5.0,FWD,7.07,7.31
67,67.0,Hyundai,Santro,First,2963.0,Petrol,2021.0,Blue,5.0,20,5.53,6.5
68,68.0,Hyundai,Verna,First,9434.0,Petrol,2019.0,Silver,5.0,FWD,10.37,10.58
69,69.0,Toyota,Yaris,First,19785.0,Petrol,2018.0,White,5.0,17.1,7.83,8.57
70,70.0,Honda,WR-V,First,11002.0,Petrol,2019.0,Grey,5.0,17.5,8.55,8.84
71,71.0,Honda,City,First,90860.0,Diesel,2016.0,Maroon,5.0,FWD,6.88,7.29
72,72.0,Honda,CR-V,Second,62577.0,Petrol,2015.0,Black,5.0,13.69999981,8.67,10.84
73,73.0,Maruti,Suzuki,First,49870.0,CNG,2020.0,White,5.0,30.47,5.6,5.8
74,74.0,Tata,Altroz,First,7956.0,Petrol,2020.0,Grey,5.0,19.05,7.48,6.01
75,75.0,Maruti,Suzuki,Second,53092.0,Petrol,2017.0,Silver,5.0,19.12,6.32,7.8
76,76.0,Maruti,Suzuki,First,47072.0,Petrol,2017.0,Black,5.0,20.5,4.76,4.37
77,77.0,Maruti,Suzuki,First,37333.0,Petrol,2017.0,White,5.0,20.5,4.57,4.44
78,78.0,Maruti,Suzuki,First,23329.0,CNG,2021.0,Orange,4.0,78,5.74,5.85
79,79.0,Maruti,Suzuki,Second,32530.0,CNG,2021.0,Grey,5.0,32.52,5.74,5.85
