,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
20,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
25,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
26,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
28,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
43,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
44,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
45,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
51,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
61,Maruti,Suzuki,First,28000,CNG,2014,Grey,7,22.8,7,6.76
73,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
78,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
79,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
81,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
95,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
96,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
121,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
122,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
128,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
134,Maruti,Suzuki,First,55411,CNG,2015,Grey,5,58,4.25,4.07
135,Maruti,Suzuki,First,86077,CNG,2013,Blue,5,32.52,3.21,3.06
153,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
155,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
156,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
159,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
179,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
184,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
185,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
187,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
208,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
209,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
211,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
230,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
231,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
239,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
256,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
260,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
261,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
263,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
270,Hyundai,Aura,First,24009,CNG,2021,Grey,5,28,7.6,8.22
285,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
288,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
289,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
312,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
313,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
319,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
342,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
343,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
344,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
368,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
369,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
370,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
396,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
