,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
1,Land,Rover,First,30000,Diesel,2019,Black,5,12.585,1.35,94.52
3,Toyota,Fortuner,First,100000,Diesel,2017,Brown,7,12.9,29.99,28.93
5,Ford,Endeavour,First,78000,Diesel,2016,White,7,10.91,26,22.01
6,Land,Rover,First,33000,Diesel,2018,White,5,15.6,46.95,46.09
10,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
18,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
27,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
30,Maruti,Suzuki,First,91114,Diesel,2014,Others,5,23.4,5.52,4.73
35,Ford,Endeavour,First,61000,Diesel,2021,Gold,7,12.62,37,35.39
37,Mercedes-Benz,GLE,First,34000,Diesel,2020,Blue,5,241,81,85.86
50,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
52,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
54,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
55,BMW,v5,First,21000,Diesel,2017,Gold,5,22.48,42,37.07
56,Toyota,Innova,First,16500,Diesel,2021,Black,7,15.6,30.5,28.94
58,Ford,Figo,First,64983,Diesel,2013,Red,5,20,2.99,2.76
60,Mercedes-Benz,GLE,First,54000,Diesel,2017,White,5,12.585,42.75,47.73
64,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
71,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
80,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
83,Maruti,Suzuki,First,91114,Diesel,2014,Others,5,23.4,5.52,4.73
87,Mercedes-Benz,GLE,First,54000,Diesel,2017,White,5,12.585,42.75,47.73
88,BMW,v5,First,8519,Diesel,2020,Blue,5,22.48,55,56.96
103,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
107,BMW,7,First,47000,Diesel,2017,White,4,11.1,64.5,62.7
112,BMW,5,First,75000,Diesel,2013,Blue,5,14.69,19.95,19.59
127,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
129,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
131,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
132,Ford,Endeavour,First,65000,Diesel,2018,White,7,10.91,30,29.43
133,Ford,Endeavour,First,61000,Diesel,2021,Gold,7,12.62,37,35.39
136,Toyota,Innova,Third,255000,Diesel,2012,Silver,5,12.585,3.21,3.06
138,Mercedes-Benz,GLE,First,54000,Diesel,2017,White,5,12.585,42.75,47.73
139,BMW,5,First,8519,Diesel,2020,Blue,5,22.48,55,56.96
143,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
151,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
160,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
163,Ford,Endeavour,First,61000,Diesel,2021,Gold,7,12.62,37,35.39
165,Hyundai,Santa,Second,54000,Diesel,2015,Black,7,12.585,14.85,13.5
168,Land,Rover,First,30000,Diesel,2018,White,5,12.585,1.11,1.09
170,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
178,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
186,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
189,Maruti,Suzuki,First,91114,Diesel,2014,Others,5,23.4,5.52,4.73
192,Land,Rover,First,30000,Diesel,2018,White,5,12.585,1.11,1.09
194,Mercedes-Benz,C-Class,First,24000,Diesel,2019,Silver,5,12.06,38.15,36.71
195,Toyota,Fortuner,First,8000,Diesel,2021,Black,7,14.2,47.45,46.56
199,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
