,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
0,Honda,Amaze,First,36471,Petrol,2021,White,5,19,9.2,7.99
2,Honda,Civic,First,29000,Petrol,2019,Silver,5,16.5,16.9,17.02
4,Honda,Jazz,First,34356,Petrol,2016,White,5,19,6.25,6.15
7,Maruti,Suzuki,First,32000,Petrol,2017,Grey,5,20.5,4.25,4.48
8,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
9,Maruti,Suzuki,First,10519,Petrol,2021,Brown,5,20.52,6.8,7.75
11,Mercedes-Benz,E-Class,Second,29675,Petrol,2011,White,5,12.06,11.25,13.78
12,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
13,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
14,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
15,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
16,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
17,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
19,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
21,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
22,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
23,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
24,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
29,Volkswagen,Ameo,Second,64500,Petrol,2016,Others,5,17.83,4.1,4.87
31,Maruti,Suzuki,First,29453,Petrol,2021,Grey,6,19.01,10.75,10.7
33,Honda,CR-V,First,29000,Petrol,2015,Silver,5,18.7,23,23.6
34,Hyundai,Grand,First,23000,Petrol,2017,White,5,19.77,4.4,4.63
36,Kia,Sonet,First,14405,Petrol,2021,Silver,5,18.2,11,9.42
38,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
39,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
40,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
41,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
42,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
46,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
47,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
48,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
49,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
53,Hyundai,i20,First,13616,Petrol,2014,Others,5,18.15,4.97,4.57
57,Maruti,Suzuki,Second,31000,Petrol,2017,Blue,5,19.12,6.95,7.47
59,Ford,Fiesta,First,31575,Petrol,2011,Silver,5,11.7,1.95,2.29
62,Maruti,Suzuki,First,20300,Petrol,2020,White,6,19.01,10.99,10.21
63,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
65,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
66,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
67,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
68,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
69,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
70,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
72,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
74,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
75,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
76,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
77,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
82,Volkswagen,Ameo,Second,64500,Petrol,2016,Others,5,17.83,4.1,4.87
84,Honda,City,Third,61000,Petrol,2014,Red,5,18.7,4.65,5.17
85,Hyundai,Venue,First,35529,Petrol,2019,White,5,18.15,10.5,10.56
86,Maruti,Suzuki,First,32946,Petrol,2020,Brown,5,20.52,10.5,10.56
89,Hyundai,Verna,First,51235,Petrol,2014,Silver,5,18.7,5.95,5.8
90,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
91,Maruti,Suzuki,First,10519,Petrol,2021,Brown,5,20.52,6.8,7.75
92,Mercedes-Benz,E-Class,Second,29675,Petrol,2011,White,5,12.06,11.25,13.78
93,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
94,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
97,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
98,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
99,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
100,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
101,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
102,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
104,Ford,EcoSport,Second,18014,Petrol,2019,Others,5,17,8.53,8.16
105,Hyundai,Venue,First,35529,Petrol,2019,White,5,18.15,10.5,10.56
106,Honda,Amaze,First,36471,Petrol,2021,White,5,19,9.2,7.99
108,Datsun,redi-GO,First,1413,Petrol,2019,Silver,5,22.7,2.95,3.38
110,Hyundai,Grand,First,23000,Petrol,2017,White,5,19.77,4.4,4.63
111,Hyundai,Venue,First,16111,Petrol,2019,White,5,18.2,9.95,9.92
